temp_c,pressure_bar,public_b,local_b,delta,delta_pct
12,80,93.29,97.792,-4.501999999999995,-4.603648560209419
13,80,105.69,110.207,-4.516999999999996,-4.0986507209160905
14,80,117.76,121.287,-3.527000000000001,-2.9079785962221845
15,80,129.5,134.05,-4.550000000000011,-3.3942558746736373
16,80,140.95,145.519,-4.569000000000017,-3.139796177818716
17,80,152.11,156.691,-4.580999999999989,-2.9235884639194265
18,80,163.0,167.599,-4.5989999999999895,-2.7440497854999073
19,80,173.64,178.252,-4.612000000000023,-2.5873482485470136
20,80,184.03,188.661,-4.631,-2.454667366334325
21,80,194.2,198.84,-4.640000000000015,-2.333534500100591
22,80,204.14,208.8,-4.660000000000025,-2.231800766283537
23,80,213.88,218.552,-4.671999999999997,-2.137706358212232
24,80,223.42,228.107,-4.687000000000012,-2.0547374696962444
25,80,232.77,237.474,-4.703999999999979,-1.9808484297228244
1,90,-68.16,-63.794,-4.366,6.843903815405837
2,90,-50.66,-46.279,-4.380999999999993,9.466496683160813
3,90,-33.77,-29.384,-4.386000000000003,14.926490607133145
4,90,-17.47,-13.075,-4.395,33.61376673040153
5,90,-1.73,2.663,-4.393,-164.96432594817875
6,90,13.5,17.919,-4.4190000000000005,-24.660974384731293
7,90,28.23,32.663,-4.432999999999996,-13.571931543336488
8,90,42.5,46.944,-4.444000000000003,-9.466598500340837
9,90,56.32,60.785,-4.464999999999996,-7.345562227523232
10,90,69.73,74.201,-4.470999999999989,-6.025525262462756
11,90,82.75,87.246,-4.495999999999995,-5.153244847901331
12,90,95.41,99.911,-4.501000000000005,-4.505009458417996
13,90,107.7,112.224,-4.524000000000001,-4.031223267750215
14,90,119.67,124.206,-4.536000000000001,-3.6519974880440573
15,90,131.32,135.873,-4.552999999999997,-3.3509232886592613
16,90,142.67,147.242,-4.572000000000003,-3.1050922970348154
17,90,153.75,158.33,-4.5800000000000125,-2.8926924777363814
18,90,164.56,169.15,-4.590000000000003,-2.713567839195982
19,90,175.1,179.716,-4.616000000000014,-2.568496961873185
20,90,185.41,190.242,-4.831999999999994,-2.539922835125784
21,90,195.5,200.14,-4.639999999999986,-2.31837713600479
22,90,205.36,210.021,-4.660999999999973,-2.219301879335863
23,90,215.03,219.696,-4.665999999999997,-2.123843856965988
24,90,224.48,229.176,-4.695999999999998,-2.049080182916186
25,90,233.76,238.471,-4.711000000000013,-1.9755022623295968
1,100,-64.72,-60.355,-4.365000000000002,7.232209427553644
2,100,-47.35,-42.975,-4.375,10.180337405468295
3,100,-30.6,-26.213,-4.3870000000000005,16.735970701560294
4,100,-14.43,-10.033,-4.397,43.82537625834746
5,100,1.18,5.599,-4.4190000000000005,-78.92480800142884
6,100,16.29,20.713,-4.423000000000002,-21.353739197605375
7,100,30.9,35.338,-4.438000000000002,-12.558718659799656
8,100,45.05,49.502,-4.452000000000005,-8.99357601713063
9,100,58.77,63.23,-4.459999999999994,-7.053613790922022
10,100,72.07,76.547,-4.477000000000004,-5.848694266267788
11,100,84.98,89.475,-4.49499999999999,-5.02374965074042
12,100,97.53,102.035,-4.5049999999999955,-4.415151663644823
13,100,109.73,114.247,-4.516999999999996,-3.9537143207261427
14,100,121.59,126.13,-4.539999999999992,-3.5994608737017297
15,100,133.15,137.701,-4.550999999999988,-3.304986891888939
16,100,144.42,148.977,-4.557000000000016,-3.0588614349866194
17,100,155.4,159.974,-4.573999999999984,-2.8592146223761263
18,100,166.11,170.706,-4.595999999999975,-2.692348247864736
19,100,176.58,181.187,-4.606999999999999,-2.542676902868307
20,100,186.8,191.429,-4.628999999999991,-2.4181289146367533
21,100,196.8,201.446,-4.645999999999987,-2.306325268310111
22,100,206.59,211.248,-4.657999999999987,-2.2049912898583592
23,100,216.17,220.847,-4.677000000000021,-2.1177557313434283
24,100,225.56,230.252,-4.692000000000007,-2.0377673158105063
25,100,234.76,239.474,-4.713999999999999,-1.9684809206844998
1,110,-61.28,-56.914,-4.366,7.671223249112695
2,110,-44.05,-39.67,-4.3799999999999955,11.04108898411897
3,110,-27.43,-23.04,-4.390000000000001,19.053819444444446
4,110,-11.38,-6.908,-4.472,64.73653734800232
5,110,4.1,8.518,-4.418000000000001,-51.86663536041325
6,110,19.08,23.51,-4.430000000000003,-18.843045512547864
7,110,33.58,38.016,-4.436,-11.668771043771043
8,110,47.61,52.064,-4.454000000000001,-8.554855562384759
9,110,61.21,65.679,-4.469000000000001,-6.8043057902830455
10,110,74.41,78.886,-4.475999999999999,-5.674010597571178
11,110,87.22,91.707,-4.486999999999995,-4.892756278146701
12,110,99.66,104.164,-4.504000000000005,-4.323950693137749
13,110,111.75,116.275,-4.525000000000006,-3.8916362072672595
14,110,123.52,128.059,-4.5390000000000015,-3.5444599754800534
15,110,134.98,139.635,-4.655000000000001,-3.333691409746841
16,110,146.15,150.718,-4.567999999999984,-3.030825780596866
17,110,157.04,161.624,-4.584000000000003,-2.836212443696483
18,110,167.66,172.268,-4.608000000000004,-2.6749018970441427
19,110,178.05,182.664,-4.613999999999976,-2.5259492839311393
20,110,188.2,192.823,-4.623000000000019,-2.39753556370351
21,110,198.12,202.759,-4.638999999999982,-2.28793789671481
22,110,207.82,212.482,-4.662000000000006,-2.194068203424293
23,110,217.33,222.004,-4.673999999999978,-2.1053674708563714
24,110,226.64,231.335,-4.695000000000022,-2.0295242829662703
25,110,235.78,240.485,-4.7050000000000125,-1.9564629810591145
1,120,-57.84,-53.474,-4.366000000000007,8.164715562703382
2,120,-40.74,-36.365,-4.375,12.030798845043309
3,120,-24.26,-19.866,-4.394000000000002,22.118191885633756
4,120,-8.34,-3.442,-4.898,142.30098779779198
5,120,7.02,11.439,-4.4190000000000005,-38.63099921321794
6,120,21.88,26.309,-4.429000000000002,-16.83454331217455
7,120,36.26,40.697,-4.437000000000005,-10.902523527532752
8,120,50.18,54.629,-4.448999999999998,-8.144026066741104
9,120,63.67,68.132,-4.462000000000003,-6.54905184054483
10,120,76.74,81.23,-4.490000000000009,-5.527514465099112
11,120,89.45,93.944,-4.494,-4.783700928212552
12,120,101.79,106.297,-4.506999999999991,-4.240006773474313
13,120,113.79,118.307,-4.516999999999996,-3.818032745315151
14,120,125.46,129.994,-4.534000000000006,-3.4878532855362603
15,120,136.82,141.374,-4.554000000000002,-3.2212429442471753
16,120,147.9,152.464,-4.563999999999993,-2.9934935460174157
17,120,158.7,163.28,-4.5800000000000125,-2.804997550220488
18,120,169.24,173.836,-4.596000000000004,-2.643871234957088
19,120,179.54,184.146,-4.6059999999999945,-2.5012761613067864
20,120,189.59,194.222,-4.632000000000005,-2.384899753889881
21,120,199.44,204.077,-4.6370000000000005,-2.272181578521833
22,120,209.06,213.722,-4.662000000000006,-2.1813383741495986
23,120,218.49,223.167,-4.6769999999999925,-2.095739961553452
24,120,227.73,232.424,-4.694000000000017,-2.0195848965683476
25,120,236.79,241.501,-4.711000000000013,-1.9507165601798802
