temp_c,pressure_bar,a_micro_per_bar_estimated,plot_x_px,plot_y_px
8.0,53.0,47.251304,89,167
10.0,53.0,46.807846,89,194
12.0,53.0,46.430085,89,217
14.0,53.0,45.970203,89,245
16.0,53.0,45.576018,89,269
18.0,53.0,45.247531,89,289
20.0,53.0,44.935468,89,308
22.0,53.0,44.689102,89,323
24.0,53.0,44.459161,89,337
26.0,53.0,44.294918,89,347
28.0,53.0,44.097825,89,359
30.0,53.0,43.933581,89,369
2.0,54.0,48.959438,90,63
4.0,54.0,48.368161,90,99
6.0,54.0,47.809732,90,133
8.0,54.0,47.234879,90,168
10.0,54.0,46.791421,90,195
12.0,54.0,46.430085,90,217
14.0,54.0,45.970203,90,245
16.0,54.0,45.576018,90,269
18.0,54.0,45.231107,90,290
20.0,54.0,44.919044,90,309
22.0,54.0,44.672678,90,324
24.0,54.0,44.459161,90,337
26.0,54.0,44.294918,90,347
28.0,54.0,44.097825,90,359
30.0,54.0,43.917157,90,370
2.0,55.0,48.943014,92,64
4.0,55.0,48.351736,92,100
6.0,55.0,47.793308,92,134
8.0,55.0,47.234879,92,168
10.0,55.0,46.791421,92,195
12.0,55.0,46.413661,92,218
14.0,55.0,45.953779,92,246
16.0,55.0,45.559594,92,270
18.0,55.0,45.214682,92,291
20.0,55.0,44.919044,92,309
22.0,55.0,44.656254,92,325
24.0,55.0,44.442737,92,338
26.0,55.0,44.278493,92,348
28.0,55.0,44.081401,92,360
30.0,55.0,43.900733,92,371
2.0,56.0,48.943014,94,64
4.0,56.0,48.335312,94,101
6.0,56.0,47.793308,94,134
8.0,56.0,47.218455,94,169
10.0,56.0,46.774997,94,196
12.0,56.0,46.413661,94,218
14.0,56.0,45.953779,94,246
16.0,56.0,45.54317,94,271
18.0,56.0,45.214682,94,291
20.0,56.0,44.902619,94,310
22.0,56.0,44.656254,94,325
24.0,56.0,44.426313,94,339
26.0,56.0,44.262069,94,349
28.0,56.0,44.064976,94,361
30.0,56.0,43.884308,94,372
2.0,57.0,48.943014,95,64
4.0,57.0,48.335312,95,101
6.0,57.0,47.776884,95,135
8.0,57.0,47.218455,95,169
10.0,57.0,46.774997,95,196
12.0,57.0,46.397237,95,219
14.0,57.0,45.953779,95,246
16.0,57.0,45.54317,95,271
18.0,57.0,45.198258,95,292
20.0,57.0,44.886195,95,311
22.0,57.0,44.656254,95,325
24.0,57.0,44.426313,95,339
26.0,57.0,44.262069,95,349
28.0,57.0,44.064976,95,361
30.0,57.0,43.884308,95,372
2.0,58.0,48.926589,97,65
4.0,58.0,48.318888,97,102
6.0,58.0,47.776884,97,135
8.0,58.0,47.202031,97,170
10.0,58.0,46.758573,97,197
12.0,58.0,46.397237,97,219
14.0,58.0,45.937354,97,247
16.0,58.0,45.526745,97,272
18.0,58.0,45.198258,97,292
20.0,58.0,44.886195,97,311
22.0,58.0,44.639829,97,326
24.0,58.0,44.409888,97,340
26.0,58.0,44.245644,97,350
28.0,58.0,44.048552,97,362
30.0,58.0,43.884308,97,372
2.0,59.0,48.910165,99,66
4.0,59.0,48.302463,99,103
6.0,59.0,47.760459,99,136
8.0,59.0,47.202031,99,170
10.0,59.0,46.742148,99,198
12.0,59.0,46.380812,99,220
14.0,59.0,45.92093,99,248
16.0,59.0,45.526745,99,272
18.0,59.0,45.181833,99,293
20.0,59.0,44.86977,99,312
22.0,59.0,44.623405,99,327
24.0,59.0,44.409888,99,340
26.0,59.0,44.22922,99,351
28.0,59.0,44.032128,99,363
30.0,59.0,43.867884,99,373
2.0,60.0,48.910165,100,66
4.0,60.0,48.302463,100,103
6.0,60.0,47.760459,100,136
8.0,60.0,47.185606,100,171
10.0,60.0,46.742148,100,198
12.0,60.0,46.364388,100,221
14.0,60.0,45.92093,100,248
16.0,60.0,45.510321,100,273
18.0,60.0,45.181833,100,293
20.0,60.0,44.86977,100,312
22.0,60.0,44.606981,100,328
24.0,60.0,44.393464,100,341
26.0,60.0,44.22922,100,351
28.0,60.0,44.032128,100,363
30.0,60.0,43.85146,100,374
2.0,61.0,48.893741,102,67
4.0,61.0,48.302463,102,103
6.0,61.0,47.760459,102,136
8.0,61.0,47.185606,102,171
10.0,61.0,46.742148,102,198
12.0,61.0,46.364388,102,221
14.0,61.0,45.904506,102,249
16.0,61.0,45.493896,102,274
18.0,61.0,45.165409,102,294
20.0,61.0,44.853346,102,313
22.0,61.0,44.606981,102,328
24.0,61.0,44.377039,102,342
26.0,61.0,44.212796,102,352
28.0,61.0,44.015703,102,364
30.0,61.0,43.835035,102,375
2.0,62.0,48.893741,104,67
4.0,62.0,48.286039,104,104
6.0,62.0,47.744035,104,137
8.0,62.0,47.169182,104,172
10.0,62.0,46.725724,104,199
12.0,62.0,46.347964,104,222
14.0,62.0,45.888081,104,250
16.0,62.0,45.477472,104,275
18.0,62.0,45.148985,104,295
20.0,62.0,44.836922,104,314
22.0,62.0,44.590556,104,329
24.0,62.0,44.377039,104,342
26.0,62.0,44.196371,104,353
28.0,62.0,43.999279,104,365
30.0,62.0,43.818611,104,376
2.0,63.0,48.877316,105,68
4.0,63.0,48.286039,105,104
6.0,63.0,47.744035,105,137
8.0,63.0,47.169182,105,172
10.0,63.0,46.725724,105,199
12.0,63.0,46.347964,105,222
14.0,63.0,45.888081,105,250
16.0,63.0,45.477472,105,275
18.0,63.0,45.148985,105,295
20.0,63.0,44.820497,105,315
22.0,63.0,44.574132,105,330
24.0,63.0,44.360615,105,343
26.0,63.0,44.179947,105,354
28.0,63.0,43.999279,105,365
30.0,63.0,43.818611,105,376
2.0,64.0,48.877316,107,68
4.0,64.0,48.269615,107,105
6.0,64.0,47.72761,107,138
8.0,64.0,47.152758,107,173
10.0,64.0,46.7093,107,200
12.0,64.0,46.331539,107,223
14.0,64.0,45.871657,107,251
16.0,64.0,45.461048,107,276
18.0,64.0,45.13256,107,296
20.0,64.0,44.820497,107,315
22.0,64.0,44.557707,107,331
24.0,64.0,44.344191,107,344
26.0,64.0,44.179947,107,354
28.0,64.0,43.982855,107,366
30.0,64.0,43.802187,107,377
2.0,65.0,48.860892,109,69
4.0,65.0,48.269615,109,105
6.0,65.0,47.711186,109,139
8.0,65.0,47.152758,109,173
10.0,65.0,46.7093,109,200
12.0,65.0,46.331539,109,223
14.0,65.0,45.871657,109,251
16.0,65.0,45.461048,109,276
18.0,65.0,45.116136,109,297
20.0,65.0,44.804073,109,316
22.0,65.0,44.557707,109,331
24.0,65.0,44.327766,109,345
26.0,65.0,44.163523,109,355
28.0,65.0,43.96643,109,367
30.0,65.0,43.785762,109,378
2.0,66.0,48.860892,110,69
4.0,66.0,48.25319,110,106
6.0,66.0,47.711186,110,139
8.0,66.0,47.136333,110,174
10.0,66.0,46.692875,110,201
12.0,66.0,46.315115,110,224
14.0,66.0,45.855232,110,252
16.0,66.0,45.461048,110,276
18.0,66.0,45.116136,110,297
20.0,66.0,44.804073,110,316
22.0,66.0,44.557707,110,331
24.0,66.0,44.327766,110,345
26.0,66.0,44.147098,110,356
28.0,66.0,43.950006,110,368
30.0,66.0,43.785762,110,378
2.0,67.0,48.844467,112,70
4.0,67.0,48.25319,112,106
6.0,67.0,47.694762,112,140
8.0,67.0,47.136333,112,174
10.0,67.0,46.692875,112,201
12.0,67.0,46.315115,112,224
14.0,67.0,45.855232,112,252
16.0,67.0,45.444623,112,277
18.0,67.0,45.099712,112,298
20.0,67.0,44.787649,112,317
22.0,67.0,44.541283,112,332
24.0,67.0,44.311342,112,346
26.0,67.0,44.147098,112,356
28.0,67.0,43.950006,112,368
30.0,67.0,43.769338,112,379
2.0,68.0,48.828043,114,71
4.0,68.0,48.236766,114,107
6.0,68.0,47.694762,114,140
8.0,68.0,47.119909,114,175
10.0,68.0,46.676451,114,202
12.0,68.0,46.29869,114,225
14.0,68.0,45.838808,114,253
16.0,68.0,45.428199,114,278
18.0,68.0,45.083287,114,299
20.0,68.0,44.771224,114,318
22.0,68.0,44.524859,114,333
24.0,68.0,44.294918,114,347
26.0,68.0,44.130674,114,357
28.0,68.0,43.933581,114,369
30.0,68.0,43.752913,114,380
2.0,69.0,48.828043,115,71
4.0,69.0,48.236766,115,107
6.0,69.0,47.678337,115,141
8.0,69.0,47.119909,115,175
10.0,69.0,46.676451,115,202
12.0,69.0,46.29869,115,225
14.0,69.0,45.838808,115,253
16.0,69.0,45.428199,115,278
18.0,69.0,45.083287,115,299
20.0,69.0,44.771224,115,318
22.0,69.0,44.524859,115,333
24.0,69.0,44.294918,115,347
26.0,69.0,44.130674,115,357
28.0,69.0,43.917157,115,370
30.0,69.0,43.752913,115,380
2.0,70.0,48.811619,117,72
4.0,70.0,48.220341,117,108
6.0,70.0,47.678337,117,141
8.0,70.0,47.103484,117,176
10.0,70.0,46.660027,117,203
12.0,70.0,46.282266,117,226
14.0,70.0,45.822384,117,254
16.0,70.0,45.411775,117,279
18.0,70.0,45.066863,117,300
20.0,70.0,44.7548,117,319
22.0,70.0,44.508434,117,334
24.0,70.0,44.278493,117,348
26.0,70.0,44.11425,117,358
28.0,70.0,43.900733,117,371
30.0,70.0,43.736489,117,381
2.0,71.0,48.811619,119,72
4.0,71.0,48.203917,119,109
6.0,71.0,47.661913,119,142
8.0,71.0,47.103484,119,176
10.0,71.0,46.643602,119,204
12.0,71.0,46.265842,119,227
14.0,71.0,45.822384,119,254
16.0,71.0,45.411775,119,279
18.0,71.0,45.066863,119,300
20.0,71.0,44.738375,119,320
22.0,71.0,44.49201,119,335
24.0,71.0,44.278493,119,348
26.0,71.0,44.097825,119,359
28.0,71.0,43.900733,119,371
30.0,71.0,43.720065,119,382
2.0,72.0,48.795194,120,73
4.0,72.0,48.203917,120,109
6.0,72.0,47.661913,120,142
8.0,72.0,47.103484,120,176
10.0,72.0,46.643602,120,204
12.0,72.0,46.265842,120,227
14.0,72.0,45.805959,120,255
16.0,72.0,45.39535,120,280
18.0,72.0,45.050438,120,301
20.0,72.0,44.738375,120,320
22.0,72.0,44.475586,120,336
24.0,72.0,44.262069,120,349
26.0,72.0,44.097825,120,359
28.0,72.0,43.884308,120,372
30.0,72.0,43.70364,120,383
2.0,73.0,48.795194,122,73
4.0,73.0,48.187493,122,110
6.0,73.0,47.645489,122,143
8.0,73.0,47.08706,122,177
10.0,73.0,46.627178,122,205
12.0,73.0,46.249417,122,228
14.0,73.0,45.805959,122,255
16.0,73.0,45.39535,122,280
18.0,73.0,45.050438,122,301
20.0,73.0,44.721951,122,321
22.0,73.0,44.475586,122,336
24.0,73.0,44.245644,122,350
26.0,73.0,44.081401,122,360
28.0,73.0,43.884308,122,372
30.0,73.0,43.70364,122,383
2.0,74.0,48.77877,124,74
4.0,74.0,48.171068,124,111
6.0,74.0,47.629064,124,144
8.0,74.0,47.070636,124,178
10.0,74.0,46.627178,124,205
12.0,74.0,46.232993,124,229
14.0,74.0,45.789535,124,256
16.0,74.0,45.378926,124,281
18.0,74.0,45.034014,124,302
20.0,74.0,44.705527,124,322
22.0,74.0,44.459161,124,337
24.0,74.0,44.245644,124,350
26.0,74.0,44.064976,124,361
28.0,74.0,43.867884,124,373
30.0,74.0,43.687216,124,384
2.0,75.0,48.77877,125,74
4.0,75.0,48.171068,125,111
6.0,75.0,47.629064,125,144
8.0,75.0,47.070636,125,178
10.0,75.0,46.610753,125,206
12.0,75.0,46.232993,125,229
14.0,75.0,45.773111,125,257
16.0,75.0,45.378926,125,281
18.0,75.0,45.01759,125,303
20.0,75.0,44.705527,125,322
22.0,75.0,44.459161,125,337
24.0,75.0,44.22922,125,351
26.0,75.0,44.064976,125,361
28.0,75.0,43.85146,125,374
30.0,75.0,43.670792,125,385
2.0,76.0,48.762346,127,75
4.0,76.0,48.171068,127,111
6.0,76.0,47.629064,127,144
8.0,76.0,47.054211,127,179
10.0,76.0,46.610753,127,206
12.0,76.0,46.232993,127,229
14.0,76.0,45.773111,127,257
16.0,76.0,45.362501,127,282
18.0,76.0,45.01759,127,303
20.0,76.0,44.689102,127,323
22.0,76.0,44.442737,127,338
24.0,76.0,44.212796,127,352
26.0,76.0,44.048552,127,362
28.0,76.0,43.835035,127,375
30.0,76.0,43.654367,127,386
2.0,77.0,48.745921,129,76
4.0,77.0,48.154644,129,112
6.0,77.0,47.61264,129,145
8.0,77.0,47.054211,129,179
10.0,77.0,46.610753,129,206
12.0,77.0,46.216569,129,230
14.0,77.0,45.756686,129,258
16.0,77.0,45.346077,129,283
18.0,77.0,45.001165,129,304
20.0,77.0,44.689102,129,323
22.0,77.0,44.426313,129,339
24.0,77.0,44.212796,129,352
26.0,77.0,44.032128,129,363
28.0,77.0,43.835035,129,375
30.0,77.0,43.654367,129,386
2.0,78.0,48.745921,130,76
4.0,78.0,48.154644,130,112
6.0,78.0,47.61264,130,145
8.0,78.0,47.037787,130,180
10.0,78.0,46.594329,130,207
12.0,78.0,46.216569,130,230
14.0,78.0,45.756686,130,258
16.0,78.0,45.346077,130,283
18.0,78.0,45.001165,130,304
20.0,78.0,44.672678,130,324
22.0,78.0,44.426313,130,339
24.0,78.0,44.196371,130,353
26.0,78.0,44.032128,130,363
28.0,78.0,43.818611,130,376
30.0,78.0,43.637943,130,387
2.0,79.0,48.729497,132,77
4.0,79.0,48.13822,132,113
6.0,79.0,47.596215,132,146
8.0,79.0,47.037787,132,180
10.0,79.0,46.594329,132,207
12.0,79.0,46.200144,132,231
14.0,79.0,45.740262,132,259
16.0,79.0,45.329653,132,284
18.0,79.0,44.984741,132,305
20.0,79.0,44.656254,132,325
22.0,79.0,44.409888,132,340
24.0,79.0,44.179947,132,354
26.0,79.0,44.015703,132,364
