temp_c,pressure_bar,public_a_estimated,local_a,delta,delta_pct
6.0,45.0,47.891854,47.8455,0.046354,0.096883
8.0,45.0,47.317001,47.3155,0.001501,0.003172
10.0,45.0,46.873543,46.8295,0.044043,0.09405
12.0,45.0,46.512207,46.392,0.120207,0.259111
14.0,45.0,46.052325,45.993,0.059325,0.128987
16.0,45.0,45.65814,45.6335,0.02464,0.053995
18.0,45.0,45.329653,45.3115,0.018153,0.040063
20.0,45.0,45.01759,45.024,-0.00641,-0.014237
22.0,45.0,44.771224,44.769,0.002224,0.004968
24.0,45.0,44.557707,44.5455,0.012207,0.027403
2.0,46.0,49.04156,49.045,-0.00344,-0.007014
4.0,46.0,48.417434,48.4144,0.003034,0.006267
6.0,46.0,47.87543,47.8352,0.04023,0.084101
8.0,46.0,47.300577,47.3052,-0.004623,-0.009773
10.0,46.0,46.857119,46.8186,0.038519,0.082273
12.0,46.0,46.495783,46.3814,0.114383,0.246614
14.0,46.0,46.035901,45.9822,0.053701,0.116786
16.0,46.0,45.641716,45.6226,0.019116,0.0419
18.0,46.0,45.313228,45.3004,0.012828,0.028318
20.0,46.0,45.001165,45.0128,-0.011635,-0.025848
22.0,46.0,44.771224,44.7576,0.013624,0.03044
24.0,46.0,44.541283,44.534,0.007283,0.016354
2.0,47.0,49.025135,49.035,-0.009865,-0.020118
4.0,47.0,48.417434,48.4043,0.013134,0.027134
6.0,47.0,47.859005,47.8249,0.034105,0.071312
8.0,47.0,47.284152,47.2949,-0.010748,-0.022725
10.0,47.0,46.857119,46.8077,0.049419,0.105579
12.0,47.0,46.495783,46.3708,0.124983,0.26953
14.0,47.0,46.035901,45.9714,0.064501,0.140307
16.0,47.0,45.625291,45.6117,0.013591,0.029797
18.0,47.0,45.313228,45.2893,0.023928,0.052834
20.0,47.0,44.984741,45.0016,-0.016859,-0.037463
22.0,47.0,44.7548,44.7462,0.0086,0.01922
24.0,47.0,44.541283,44.5225,0.018783,0.042188
2.0,48.0,49.025135,49.025,0.000135,0.000275
4.0,48.0,48.417434,48.3942,0.023234,0.04801
6.0,48.0,47.859005,47.8146,0.044405,0.092869
8.0,48.0,47.284152,47.2846,-0.000448,-0.000947
10.0,48.0,46.857119,46.7968,0.060319,0.128896
12.0,48.0,46.479358,46.3602,0.119158,0.257027
14.0,48.0,46.019476,45.9606,0.058876,0.128101
16.0,48.0,45.625291,45.6008,0.024491,0.053707
18.0,48.0,45.296804,45.2782,0.018604,0.041088
20.0,48.0,44.984741,44.9904,-0.005659,-0.012578
22.0,48.0,44.738375,44.7348,0.003575,0.007992
24.0,48.0,44.524859,44.511,0.013859,0.031136
2.0,49.0,49.008711,49.015,-0.006289,-0.012831
4.0,49.0,48.401009,48.3841,0.016909,0.034947
6.0,49.0,47.859005,47.8043,0.054705,0.114435
8.0,49.0,47.284152,47.2743,0.009852,0.02084
10.0,49.0,46.840695,46.7859,0.054795,0.117119
12.0,49.0,46.479358,46.3496,0.129758,0.279955
14.0,49.0,46.019476,45.9498,0.069676,0.151635
16.0,49.0,45.608867,45.5899,0.018967,0.041604
18.0,49.0,45.28038,45.2671,0.01328,0.029337
20.0,49.0,44.968317,44.9792,-0.010883,-0.024196
22.0,49.0,44.721951,44.7234,-0.001449,-0.00324
24.0,49.0,44.508434,44.4995,0.008934,0.020077
2.0,50.0,48.992287,49.005,-0.012713,-0.025942
4.0,50.0,48.401009,48.374,0.027009,0.055834
6.0,50.0,47.842581,47.794,0.048581,0.101647
8.0,50.0,47.267728,47.264,0.003728,0.007888
10.0,50.0,46.82427,46.775,0.04927,0.105334
12.0,50.0,46.462934,46.339,0.123934,0.267451
14.0,50.0,46.003052,45.939,0.064052,0.139428
16.0,50.0,45.592443,45.579,0.013443,0.029494
18.0,50.0,45.263955,45.256,0.007955,0.017578
20.0,50.0,44.951892,44.968,-0.016108,-0.035821
22.0,50.0,44.721951,44.712,0.009951,0.022256
24.0,50.0,44.49201,44.488,0.00401,0.009014
2.0,51.0,48.992287,48.995,-0.002713,-0.005537
4.0,51.0,48.384585,48.3639,0.020685,0.04277
6.0,51.0,47.842581,47.7838,0.058781,0.123014
8.0,51.0,47.267728,47.2536,0.014128,0.029898
10.0,51.0,46.82427,46.765,0.05927,0.12674
12.0,51.0,46.462934,46.3274,0.135534,0.292557
14.0,51.0,46.003052,45.9283,0.074752,0.162758
16.0,51.0,45.592443,45.5682,0.024243,0.053202
18.0,51.0,45.263955,45.245,0.018955,0.041894
20.0,51.0,44.951892,44.9569,-0.005008,-0.01114
22.0,51.0,44.705527,44.7008,0.004727,0.010575
24.0,51.0,44.49201,44.4766,0.01541,0.034647
2.0,52.0,48.975862,48.985,-0.009138,-0.018655
4.0,52.0,48.384585,48.3538,0.030785,0.063666
6.0,52.0,47.826157,47.7736,0.052557,0.110013
8.0,52.0,47.251304,47.2432,0.008104,0.017154
10.0,52.0,46.807846,46.755,0.052846,0.113027
12.0,52.0,46.44651,46.3158,0.13071,0.282215
14.0,52.0,45.986627,45.9176,0.069027,0.150328
16.0,52.0,45.592443,45.5574,0.035043,0.076921
18.0,52.0,45.247531,45.234,0.013531,0.029913
20.0,52.0,44.935468,44.9458,-0.010332,-0.022988
22.0,52.0,44.689102,44.6896,-0.000498,-0.001114
24.0,52.0,44.475586,44.4652,0.010386,0.023358
2.0,53.0,48.975862,48.975,0.000862,0.00176
4.0,53.0,48.368161,48.3437,0.024461,0.050598
6.0,53.0,47.809732,47.7634,0.046332,0.097003
8.0,53.0,47.251304,47.2328,0.018504,0.039176
10.0,53.0,46.807846,46.745,0.062846,0.134444
12.0,53.0,46.430085,46.3042,0.125885,0.271865
14.0,53.0,45.970203,45.9069,0.063303,0.137894
16.0,53.0,45.576018,45.5466,0.029418,0.064589
18.0,53.0,45.247531,45.223,0.024531,0.054245
20.0,53.0,44.935468,44.9347,0.000768,0.001709
22.0,53.0,44.689102,44.6784,0.010702,0.023953
24.0,53.0,44.459161,44.4538,0.005361,0.01206
2.0,54.0,48.959438,48.965,-0.005562,-0.011359
4.0,54.0,48.368161,48.3336,0.034561,0.071505
6.0,54.0,47.809732,47.7532,0.056532,0.118384
8.0,54.0,47.234879,47.2224,0.012479,0.026426
10.0,54.0,46.791421,46.735,0.056421,0.120725
12.0,54.0,46.430085,46.2926,0.137485,0.296991
14.0,54.0,45.970203,45.8962,0.074003,0.16124
16.0,54.0,45.576018,45.5358,0.040218,0.088322
18.0,54.0,45.231107,45.212,0.019107,0.042261
20.0,54.0,44.919044,44.9236,-0.004556,-0.010142
22.0,54.0,44.672678,44.6672,0.005478,0.012264
24.0,54.0,44.459161,44.4424,0.016761,0.037714
2.0,55.0,48.943014,48.955,-0.011986,-0.024484
4.0,55.0,48.351736,48.3235,0.028236,0.058431
6.0,55.0,47.793308,47.743,0.050308,0.105373
8.0,55.0,47.234879,47.212,0.022879,0.04846
10.0,55.0,46.791421,46.725,0.066421,0.142153
12.0,55.0,46.413661,46.281,0.132661,0.286642
14.0,55.0,45.953779,45.8855,0.068279,0.148803
16.0,55.0,45.559594,45.525,0.034594,0.075989
18.0,55.0,45.214682,45.201,0.013682,0.030269
20.0,55.0,44.919044,44.9125,0.006544,0.014571
22.0,55.0,44.656254,44.656,0.000254,0.000569
24.0,55.0,44.442737,44.431,0.011737,0.026416
2.0,56.0,48.943014,48.945,-0.001986,-0.004058
4.0,56.0,48.335312,48.3134,0.021912,0.045354
6.0,56.0,47.793308,47.7328,0.060508,0.126764
8.0,56.0,47.218455,47.2016,0.016855,0.035709
10.0,56.0,46.774997,46.715,0.059997,0.128432
12.0,56.0,46.413661,46.2694,0.144261,0.311785
14.0,56.0,45.953779,45.8748,0.078979,0.172162
16.0,56.0,45.54317,45.5142,0.02897,0.06365
18.0,56.0,45.214682,45.19,0.024682,0.054618
20.0,56.0,44.902619,44.9014,0.001219,0.002715
22.0,56.0,44.656254,44.6448,0.011454,0.025656
24.0,56.0,44.426313,44.4196,0.006713,0.015113
2.0,57.0,48.943014,48.935,0.008014,0.016377
4.0,57.0,48.335312,48.3033,0.032012,0.066273
6.0,57.0,47.776884,47.7226,0.054284,0.113749
8.0,57.0,47.218455,47.1912,0.027255,0.057754
10.0,57.0,46.774997,46.705,0.069997,0.14987
12.0,57.0,46.397237,46.2578,0.139437,0.301435
14.0,57.0,45.953779,45.8641,0.089679,0.195532
16.0,57.0,45.54317,45.5034,0.03977,0.0874
18.0,57.0,45.198258,45.179,0.019258,0.042626
20.0,57.0,44.886195,44.8903,-0.004105,-0.009145
22.0,57.0,44.656254,44.6336,0.022654,0.050755
24.0,57.0,44.426313,44.4082,0.018113,0.040788
2.0,58.0,48.926589,48.925,0.001589,0.003248
4.0,58.0,48.318888,48.2932,0.025688,0.053192
6.0,58.0,47.776884,47.7124,0.064484,0.135151
8.0,58.0,47.202031,47.1808,0.021231,0.044999
10.0,58.0,46.758573,46.695,0.063573,0.136145
12.0,58.0,46.397237,46.2462,0.151037,0.326593
14.0,58.0,45.937354,45.8534,0.083954,0.183092
16.0,58.0,45.526745,45.4926,0.034145,0.075056
18.0,58.0,45.198258,45.168,0.030258,0.06699
20.0,58.0,44.886195,44.8792,0.006995,0.015586
22.0,58.0,44.639829,44.6224,0.017429,0.039059
24.0,58.0,44.409888,44.3968,0.013088,0.02948
2.0,59.0,48.910165,48.915,-0.004835,-0.009884
4.0,59.0,48.302463,48.2831,0.019363,0.040103
6.0,59.0,47.760459,47.7022,0.058259,0.122131
8.0,59.0,47.202031,47.1704,0.031631,0.067057
10.0,59.0,46.742148,46.685,0.057148,0.122412
12.0,59.0,46.380812,46.2346,0.146212,0.316239
14.0,59.0,45.92093,45.8427,0.07823,0.170649
16.0,59.0,45.526745,45.4818,0.044945,0.09882
18.0,59.0,45.181833,45.157,0.024833,0.054993
20.0,59.0,44.86977,44.8681,0.00167,0.003722
22.0,59.0,44.623405,44.6112,0.012205,0.027359
24.0,59.0,44.409888,44.3854,0.024488,0.055171
2.0,60.0,48.910165,48.905,0.005165,0.010561
4.0,60.0,48.302463,48.273,0.029463,0.061034
6.0,60.0,47.760459,47.692,0.068459,0.143544
8.0,60.0,47.185606,47.16,0.025606,0.054296
10.0,60.0,46.742148,46.675,0.067148,0.143863
12.0,60.0,46.364388,46.223,0.141388,0.305882
14.0,60.0,45.92093,45.832,0.08893,0.194035
16.0,60.0,45.510321,45.471,0.039321,0.086475
18.0,60.0,45.181833,45.146,0.035833,0.079371
20.0,60.0,44.86977,44.857,0.01277,0.028468
22.0,60.0,44.606981,44.6,0.006981,0.015652
24.0,60.0,44.393464,44.374,0.019464,0.043864
2.0,61.0,48.893741,48.895,-0.001259,-0.002575
4.0,61.0,48.302463,48.2629,0.039563,0.081974
6.0,61.0,47.760459,47.6818,0.078659,0.164967
8.0,61.0,47.185606,47.1498,0.035806,0.075941
10.0,61.0,46.742148,46.6646,0.077548,0.166182
12.0,61.0,46.364388,46.2135,0.150888,0.326502
14.0,61.0,45.904506,45.8214,0.083106,0.181369
16.0,61.0,45.493896,45.4602,0.033696,0.074122
18.0,61.0,45.165409,45.1351,0.030309,0.067152
20.0,61.0,44.853346,44.8459,0.007446,0.016604
22.0,61.0,44.606981,44.5888,0.018181,0.040775
24.0,61.0,44.377039,44.3627,0.014339,0.032322
2.0,62.0,48.893741,48.885,0.008741,0.017881
4.0,62.0,48.286039,48.2528,0.033239,0.068885
6.0,62.0,47.744035,47.6716,0.072435,0.151946
8.0,62.0,47.169182,47.1396,0.029582,0.062754
10.0,62.0,46.725724,46.6542,0.071524,0.153307
12.0,62.0,46.347964,46.204,0.143964,0.311583
14.0,62.0,45.888081,45.8108,0.077281,0.168696
16.0,62.0,45.477472,45.4494,0.028072,0.061765
18.0,62.0,45.148985,45.1242,0.024785,0.054926
20.0,62.0,44.836922,44.8348,0.002122,0.004733
22.0,62.0,44.590556,44.5776,0.012956,0.029064
24.0,62.0,44.377039,44.3514,0.025639,0.057809
2.0,63.0,48.877316,48.875,0.002316,0.004739
4.0,63.0,48.286039,48.2427,0.043339,0.089835
6.0,63.0,47.744035,47.6614,0.082635,0.173379
8.0,63.0,47.169182,47.1294,0.039782,0.08441
10.0,63.0,46.725724,46.6438,0.081924,0.175637
12.0,63.0,46.347964,46.1945,0.153464,0.332213
14.0,63.0,45.888081,45.8002,0.087881,0.191879
16.0,63.0,45.477472,45.4386,0.038872,0.085548
18.0,63.0,45.148985,45.1133,0.035685,0.079101
20.0,63.0,44.820497,44.8237,-0.003203,-0.007146
22.0,63.0,44.574132,44.5664,0.007732,0.017349
24.0,63.0,44.360615,44.3401,0.020515,0.046267
2.0,64.0,48.877316,48.865,0.012316,0.025204
4.0,64.0,48.269615,48.2326,0.037015,0.076743
6.0,64.0,47.72761,47.6512,0.07641,0.160353
8.0,64.0,47.152758,47.1192,0.033558,0.071219
10.0,64.0,46.7093,46.6334,0.0759,0.162759
12.0,64.0,46.331539,46.185,0.146539,0.317287
14.0,64.0,45.871657,45.7896,0.082057,0.179204
16.0,64.0,45.461048,45.4278,0.033248,0.073189
18.0,64.0,45.13256,45.1024,0.03016,0.06687
20.0,64.0,44.820497,44.8126,0.007897,0.017622
22.0,64.0,44.557707,44.5552,0.002507,0.005627
24.0,64.0,44.344191,44.3288,0.015391,0.03472
2.0,65.0,48.860892,48.855,0.005892,0.01206
4.0,65.0,48.269615,48.2225,0.047115,0.097703
6.0,65.0,47.711186,47.641,0.070186,0.147323
8.0,65.0,47.152758,47.109,0.043758,0.092887
10.0,65.0,46.7093,46.623,0.0863,0.185102
12.0,65.0,46.331539,46.1755,0.156039,0.337926
14.0,65.0,45.871657,45.779,0.092657,0.202401
16.0,65.0,45.461048,45.417,0.044048,0.096986
18.0,65.0,45.116136,45.0915,0.024636,0.054636
20.0,65.0,44.804073,44.8015,0.002573,0.005743
