temp_c,pressure_bar,b_micro_per_c,source_page
4.0,120.0,-8.340000,56
5.0,120.0,7.020000,56
6.0,120.0,21.880000,56
7.0,120.0,36.260000,56
8.0,120.0,50.180000,56
9.0,120.0,63.670000,57
10.0,120.0,76.740000,57
11.0,120.0,89.450000,57
12.0,120.0,101.790000,57
13.0,120.0,113.790000,57
14.0,120.0,125.460000,57
15.0,120.0,136.820000,57
16.0,120.0,147.900000,58
17.0,120.0,158.700000,58
18.0,120.0,169.240000,58
19.0,120.0,179.540000,58
20.0,120.0,189.590000,58
21.0,120.0,199.440000,58
22.0,120.0,209.060000,58
23.0,120.0,218.490000,58
24.0,120.0,227.730000,59
25.0,120.0,236.790000,59
26.0,120.0,245.680000,59
27.0,120.0,254.400000,59
28.0,120.0,262.980000,59
29.0,120.0,271.410000,59
30.0,120.0,279.690000,59
1.0,130.0,-54.400000,56
2.0,130.0,-37.440000,56
3.0,130.0,-21.080000,56
4.0,130.0,-5.290000,56
5.0,130.0,9.950000,56
6.0,130.0,24.680000,56
7.0,130.0,38.940000,56
8.0,130.0,52.750000,56
9.0,130.0,66.120000,57
10.0,130.0,79.090000,57
11.0,130.0,91.690000,57
12.0,130.0,103.930000,57
13.0,130.0,115.830000,57
14.0,130.0,127.390000,57
15.0,130.0,138.670000,57
16.0,130.0,149.650000,58
17.0,130.0,160.360000,58
18.0,130.0,170.810000,58
19.0,130.0,181.020000,58
20.0,130.0,191.000000,58
21.0,130.0,200.750000,58
22.0,130.0,210.310000,58
23.0,130.0,219.660000,58
24.0,130.0,228.820000,59
25.0,130.0,237.810000,59
26.0,130.0,246.630000,59
27.0,130.0,255.280000,59
28.0,130.0,263.690000,59
29.0,130.0,272.160000,59
30.0,130.0,280.380000,59
1.0,140.0,-50.960000,56
2.0,140.0,-34.130000,56
3.0,140.0,-17.900000,56
4.0,140.0,-2.250000,56
5.0,140.0,12.870000,56
6.0,140.0,27.490000,56
7.0,140.0,41.630000,56
8.0,140.0,55.320000,56
9.0,140.0,68.580000,57
10.0,140.0,81.450000,57
11.0,140.0,93.930000,57
12.0,140.0,106.070000,57
13.0,140.0,117.670000,57
14.0,140.0,129.340000,57
15.0,140.0,140.510000,57
16.0,140.0,151.400000,58
17.0,140.0,162.030000,58
18.0,140.0,172.390000,58
19.0,140.0,182.510000,58
20.0,140.0,192.410000,58
21.0,140.0,202.090000,58
22.0,140.0,211.560000,58
23.0,140.0,220.840000,58
24.0,140.0,229.920000,59
25.0,140.0,238.840000,59
26.0,140.0,247.590000,59
27.0,140.0,256.180000,59
28.0,140.0,264.620000,59
29.0,140.0,272.920000,59
30.0,140.0,281.080000,59
1.0,150.0,-47.530000,56
2.0,150.0,-30.830000,56
3.0,150.0,-14.730000,56
4.0,150.0,0.800000,56
5.0,150.0,15.790000,56
6.0,150.0,30.290000,56
7.0,150.0,44.310000,56
8.0,150.0,57.890000,56
9.0,150.0,71.050000,57
10.0,150.0,83.800000,57
11.0,150.0,96.180000,57
12.0,150.0,108.210000,57
13.0,150.0,119.900000,57
14.0,150.0,131.200000,57
15.0,150.0,142.370000,57
16.0,150.0,153.160000,58
17.0,150.0,163.700000,58
18.0,150.0,173.980000,58
19.0,150.0,184.000000,58
20.0,150.0,193.820000,58
21.0,150.0,203.420000,58
22.0,150.0,212.810000,58
23.0,150.0,222.020000,58
24.0,150.0,231.030000,59
25.0,150.0,239.870000,59
26.0,150.0,248.550000,59
27.0,150.0,257.070000,59
28.0,150.0,265.440000,59
29.0,150.0,273.690000,59
30.0,150.0,281.780000,59
1.0,160.0,-44.100000,56
2.0,160.0,-27.530000,56
3.0,160.0,-11.560000,56
4.0,160.0,3.850000,56
5.0,160.0,18.720000,56
6.0,160.0,33.100000,56
7.0,160.0,47.000000,56
8.0,160.0,60.460000,56
9.0,160.0,73.510000,57
10.0,160.0,86.150000,57
11.0,160.0,98.430000,57
12.0,160.0,110.360000,57
13.0,160.0,121.960000,57
14.0,160.0,133.740000,57
15.0,160.0,144.220000,57
16.0,160.0,154.930000,58
